
# R11treat.dat
#
# This is a processed and treated version of the Cepheid and redshift datas from R11.
# (Riess et al. 2011 [R11], ApJ, 730, 119, Table 2)
#
# The description of each column can be found in the R11treat_info.txt file.
#

id	gal	z	dL	M	Merr	m	merr	P	logP	logO_H	bias	Pivot
49211	3370	0.004266	18.282857142857143	-7.133820329094078	0.37	24.1764	0.37	33.57	1.5259513412480126	-3.28	0.2	1.4741253668998888
52279	3370	0.004266	18.282857142857143	-6.476620329094075	0.18	24.8336	0.18	33.69	1.5275010109811202	-3.52	0.03	1.4741253668998888
4345	3370	0.004266	18.282857142857143	-6.986320329094077	0.38	24.3239	0.38	34.07	1.5323721335678775	-3.21	0.28	1.4741253668998888
1320	3370	0.004266	18.282857142857143	-6.93482032909408	0.32	24.3754	0.32	34.58	1.5388249889379038	-3.38	0.15	1.4741253668998888
17969	3370	0.004266	18.282857142857143	-7.359920329094081	0.6	23.9503	0.6	34.71	1.540454613671412	-3.07	0.53	1.4741253668998888
10677	3370	0.004266	18.282857142857143	-6.769420329094075	0.57	24.5408	0.57	35.24	1.5470358997400104	-3.03	0.49	1.4741253668998888
19618	3370	0.004266	18.282857142857143	-6.992220329094074	0.57	24.318	0.57	35.66	1.5521813388393357	-2.9	1.16	1.4741253668998888
22097	3370	0.004266	18.282857142857143	-7.632020329094075	0.52	23.6782	0.52	36.02	1.5565437084835145	-3.05	0.5	1.4741253668998888
50582	3370	0.004266	18.282857142857143	-7.0089203290940745	0.26	24.3013	0.26	36.69	1.5645477117559479	-3.33	0.08	1.4741253668998888
59919	3370	0.004266	18.282857142857143	-6.609220329094079	0.47	24.701	0.47	36.99	1.568084331315394	-3.19	0.33	1.4741253668998888
45614	3370	0.004266	18.282857142857143	-7.1964203290940745	0.34	24.1138	0.34	37.02	1.5684364144168854	-3.14	0.25	1.4741253668998888
21445	3370	0.004266	18.282857142857143	-6.817120329094081	0.23	24.4931	0.23	37.1	1.5693739096150459	-3.32	0.09	1.4741253668998888
16214	3370	0.004266	18.282857142857143	-8.69402032909408	0.39	22.6162	0.39	37.21	1.570659670021534	-3.33	0.06	1.4741253668998888
30965	3370	0.004266	18.282857142857143	-6.799720329094079	0.27	24.5105	0.27	37.28	1.5714759036819437	-3.26	0.2	1.4741253668998888
20306	3370	0.004266	18.282857142857143	-7.101820329094075	0.68	24.2084	0.68	37.28	1.5714759036819437	-2.98	1.02	1.4741253668998888
21506	3370	0.004266	18.282857142857143	-7.211820329094074	0.34	24.0984	0.34	38.54	1.5859117103194342	-3.2	0.09	1.4741253668998888
31251	3370	0.004266	18.282857142857143	-6.887420329094077	0.26	24.4228	0.26	39.29	1.594282028811806	-3.28	0.13	1.4741253668998888
47492	3370	0.004266	18.282857142857143	-7.097620329094077	0.32	24.2126	0.32	39.41	1.595606434865603	-3.25	0.09	1.4741253668998888
18990	3370	0.004266	18.282857142857143	-6.9782203290940785	0.12	24.332	0.12	40.01	1.6021685513789972	-3.44	0.0	1.4741253668998888
20732	3370	0.004266	18.282857142857143	-7.809920329094076	0.37	23.5003	0.37	41.55	1.6185710281201298	-3.14	0.19	1.4741253668998888
9431	3370	0.004266	18.282857142857143	-7.134620329094076	0.36	24.1756	0.36	43.1	1.6344772701607315	-3.11	0.4	1.4741253668998888
6440	3370	0.004266	18.282857142857143	-7.164020329094079	0.45	24.1462	0.45	43.94	1.6428600525844914	-3.14	0.29	1.4741253668998888
85483	3370	0.004266	18.282857142857143	-7.8776203290940785	0.59	23.4326	0.59	44.57	1.6490426340861764	-3.07	0.39	1.4741253668998888
28504	3370	0.004266	18.282857142857143	-7.466420329094078	0.31	23.8438	0.31	44.97	1.6529228875679418	-3.1	0.23	1.4741253668998888
9014	3370	0.004266	18.282857142857143	-6.52942032909408	0.34	24.7808	0.34	45.1	1.6541765418779606	-3.09	0.22	1.4741253668998888
40168	3370	0.004266	18.282857142857143	-7.998420329094074	0.15	23.3118	0.15	45.4	1.657055852857104	-3.36	0.06	1.4741253668998888
5439	3370	0.004266	18.282857142857143	-7.607920329094078	0.25	23.7023	0.25	45.82	1.6610550848533787	-3.17	0.43	1.4741253668998888
46830	3370	0.004266	18.282857142857143	-6.948920329094079	0.35	24.3613	0.35	45.88	1.6616234092292301	-3.22	0.18	1.4741253668998888
46035	3370	0.004266	18.282857142857143	-7.367120329094078	0.19	23.9431	0.19	50.13	1.7000977046130539	-3.41	0.03	1.4741253668998888
28129	3370	0.004266	18.282857142857143	-6.479420329094076	0.72	24.8308	0.72	50.57	1.7038929536325444	-2.93	0.59	1.4741253668998888
5361	3370	0.004266	18.282857142857143	-7.255120329094076	0.33	24.0551	0.33	50.6	1.7041505168397992	-3.18	0.33	1.4741253668998888
28534	3370	0.004266	18.282857142857143	-6.987920329094081	0.41	24.3223	0.41	51.15	1.708845638048179	-3.09	0.23	1.4741253668998888
48903	3370	0.004266	18.282857142857143	-7.348920329094078	0.25	23.9613	0.25	51.68	1.7133225049870278	-3.26	0.11	1.4741253668998888
15864	3370	0.004266	18.282857142857143	-8.048420329094078	0.51	23.2618	0.51	52.41	1.7194141597025934	-2.99	0.24	1.4741253668998888
4367	3370	0.004266	18.282857142857143	-6.4745203290940765	0.39	24.8357	0.39	52.72	1.7219754015859534	-3.22	0.17	1.4741253668998888
13303	3370	0.004266	18.282857142857143	-7.471720329094076	0.24	23.8385	0.24	52.74	1.7221401254574156	-3.25	0.05	1.4741253668998888
1528	3370	0.004266	18.282857142857143	-7.616420329094076	0.17	23.6938	0.17	60.68	1.783045572114693	-3.37	0.08	1.4741253668998888
5501	3370	0.004266	18.282857142857143	-8.116820329094075	0.29	23.1934	0.29	62.7	1.7972675408307164	-3.17	0.26	1.4741253668998888
6706	3370	0.004266	18.282857142857143	-7.593820329094079	0.28	23.7164	0.28	64.79	1.8115079799453266	-3.16	0.12	1.4741253668998888
